94,Round 1,Ideal Institute of Engineering Kalyani,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,26869,62487
95,Round 1,Pailan College of Management & Technology Pailan Park,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,53760,53760
96,Round 1,Murshidabad College of Engineering & Technology Murshidabad,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,36282,54345
97,Round 1,Seacom Engineering College Sankrail Howrah,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,58377,58377
98,Round 1,Guru Nanak Institute of Technology Panihati Sodepur,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,26177,26177
99,Round 1,Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex Dum Dum,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,55505,55505
100,Round 1,Durgapur Institute of Advanced Technology & Management Durgapur,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,33731,53933
101,Round 1,Dumkal Institute of Engineering & Technology Dumkal Murshidabad,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,58182,58182
102,Round 1,Global Institute of Management and Technology Krishnanagar Nadia,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,63870,63870
103,Round 1,Gargi Memorial Institute of Technology Baruipur Kolkata,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,45977,45977
104,Round 1,Calcutta Institute of Technology Uluberia Howrah,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,18645,41403
105,Round 1,Camellia Institute of Technology & Management Bainchi Hooghly,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,50805,55691
106,Round 1,Camellia Institute of Technology Badu Road Madhyamgram,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,52986,52986
107,Round 1,Camellia School of Engineering & Technology Barasat,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,46853,62254
108,Round 1,Birbhum Institute of Engineering & Technology Suri Birbhum,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,37211,62445
109,Round 1,Budge Budge Institute of Technology Budge-Budge,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,34183,64028
110,Round 1,Bengal Institute of Technology & Management Santiniketan,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,30199,43802
111,Round 1,Abacus Institute of Engineering & Management Mogra Hooghly,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,21007,21007
112,Round 1,Govt. College of Engineering & Ceramic Technology Kolkata,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,3900,6992
113,Round 1,Kalyani Goverment Engineering College Kalyani Nadia,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,2330,3365
114,Round 1,Ramkrishna Mahato Government Engineering College Purulia,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,5329,11302
115,Round 1,Govt. College of Engg. & Textile Technology Berhampore,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,6761,10970
116,Round 1,Goverment College of Engineering and Leather Technology Kolkata,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,7977,8920
117,Round 1,Cooch Behar Government Engineering College Cooch Behar,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,5691,10396
118,Round 1,Jalpaiguri Goverment Engineering CollegeJalpaiguri,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,5023,6318
119,Round 1,Govt. College of Engineering & Textile Technology Serampore,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,4764,9290
120,Round 1,Swami Vivekananda University,COMPUTER SCIENCE & ENGINEERING,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,34937,46581
121,Round 1,Jadavpur University,Production Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,5178,6612
122,Round 1,Jis College of Engineering Kalyani Nadia,Biomedical Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,21012,21012
123,Round 1,Kaji Nazrul University Asansol,Mining Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,16775,20001
124,Round 1,West Bengal University of Animal & Fishery Sciences,Dairy Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,7486,11055
125,Round 1,Kaji Nazrul University Asansol,Metallurgical And Materials Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,17734,20230
126,Round 1,Jadavpur University,Metallurgical And Materials Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,6304,7047
127,Round 1,Govt. College of Engg. & Textile Technology Berhampore,Textile Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,11210,18171
128,Round 1,Govt. College of Engineering & Textile Technology Serampore,Textile Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,12620,17108
129,Round 1,Goverment College of Engineering and Leather Technology Kolkata,Leather Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,11409,16930
130,Round 1,Ghani Khan Choudhury Institute of Engineering & Technology Malda,Food Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,14154,19708
131,Round 1,Guru Nanak Institute of Technology Panihati Sodepur,Food Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,39766,39766
132,Round 1,Hemnalini Memorial College of Engineering Haringhata,Food Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,43380,47050
133,Round 1,Bidhan Chandra Krishi Viswa Vidyalaya Mohanpur Nadia,Agricultural Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,3469,7188
134,Round 1,Jis College of Engineering Kalyani Nadia,Agricultural Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,32505,32505
135,Round 1,Uttar Banga Krishi Viswa Vidyalaya,Agricultural Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,7533,11383
136,Round 1,Swami Vivekananda University,Agricultural Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,36662,50885
137,Round 1,Govt. College of Engineering & Textile Technology Serampore,Apparel & Production Management,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,18585,19788
138,Round 1,University of Kalyani Science Instrumentation Centre,Applied Electronics & Instrumentation Engineering/ Electronics & Instrumentation Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,10278,11318
139,Round 1,Narula Institute of Technology Agarpara Kolkata,Applied Electronics & Instrumentation Engineering/ Electronics & Instrumentation Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,57031,57031
140,Round 1,Bengal School of Technology Sugandha Hooghly,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - A,18148,18963
141,Round 1,Bharat Technology Uluberia Howrah,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - A,19810,23070
142,Round 1,Institute of Pharmacy Jalpaiguri,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - A,2672,3122
143,Round 1,P.G. Institute of Medical Sciences Chandrakona,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - A,23345,27736
144,Round 1,Birbhum Pharmacy School Hetampur Birbhum,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - A,24614,26608
145,Round 1,Global College of Pharmaceutical Technology Krishnanagar,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - A,25001,28656
146,Round 1,Jadavpur University,B.Pharm/Pharmaceutical Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,2567,3331
147,Round 1,Sanaka Education Trusts Group of Institutions Durgapur Burdwan,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - A,22158,24228
148,Round 1,Nshm Knowledge Campus Kolkata Group of Institutions Kolkata,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - A,7799,11497
149,Round 1,Anand College of Education Debra Paschim Medinipur,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - A,27785,31703
150,Round 1,Bengal College of Pharmaceutical Technology Dubrajpur Birbhum,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - A,26499,31199
151,Round 1,Haldia Institute of Pharmacy Haldia,B.Pharm/Pharmaceutical Technology,B. Pharma,WBJEE Seats,Home State,OBC - A,18958,18958
152,Round 1,Govt. College of Engineering & Ceramic Technology Kolkata,Ceramic Enginering And Technology,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,10109,13411
153,Round 1,Jadavpur University,Construction Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,5289,7984
154,Round 1,Jadavpur University,Electronics & Communication Engineering/Electronics & Telecommunication Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,805,2357
155,Round 1,University Of Calcutta,Electronics & Communication Engineering/Electronics & Telecommunication Engineering,B.E/B. Tech,WBJEE Seats,Home State,OBC - A,4454,4454
